,Company,Subscritpion Status,Minimum Investment,Lot size,Issue size,No. of Shares,Price Range,Post issue promoter holding,Sector,Industry,Nse_symbol_Bse_Code
365,AGS Transact Tech,7.79 x Oversubscribed,"₹14,875",85,"₹6,450.3 M - ₹6,800.0 M",38.9 M,₹166 - ₹175,98.23 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: AGSTRA | BSE: 543451
366,Fabino Enterprises,6.93 x Oversubscribed,"₹108,000",3000,₹32.4 M,900.0 K,₹36,57.14 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,BSE: 543444 | GSM
367,Timescan Logistics,115.86 x Oversubscribed,"₹102,000",2000,₹48.1 M,944.0 K,₹51,72.98 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: TIMESCAN
368,Ascensive Educare,2.67 x Oversubscribed,"₹104,000",4000,₹22.6 M,868.0 K,₹26,72.95 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : EDUCATION,BSE: 543443
369,AB Cotspin,13.46 x Oversubscribed,"₹140,000",4000,₹95.2 M - ₹100.9 M,2.9 M,₹33 - ₹35,71.98 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,NSE: ABCOTS
370,Innova Captab,55.26 x Oversubscribed,"₹14,058",33,"₹5,420.1 M - ₹5,700.0 M",12.7 M,₹426 - ₹448,48.75 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: INNOVACAP | BSE: 544067
371,Trident Techlabs,502.64 x Oversubscribed,"₹132,000",4000,₹151.1 M - ₹160.3 M,4.6 M,₹33 - ₹35,67.69 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: TECHLABS
372,Indifra,6.89 x Oversubscribed,"₹130,000",2000,₹140.4 M,2.2 M,₹65,67.56 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: INDIFRA
373,Supreme Power Equipment,160.25 x Oversubscribed,"₹122,000",2000,₹438.0 M - ₹466.7 M,7.2 M,₹61 - ₹65,56.56 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,NSE: SUPREMEPWR
374,Azad Engineering,80.65 x Oversubscribed,"₹13,972",28,"₹7,046.9 M - ₹7,400.0 M",14.1 M,₹499 - ₹524,56.38 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,NSE: AZAD | BSE: 544061
375,RBZ Jewellers,16.86 x Oversubscribed,"₹14,250",150,"₹950.0 M - ₹1,000.0 M",10.0 M,₹95 - ₹100,75 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: RBZJEWEL | BSE: 544060
376,Credo Brands,51.85 x Oversubscribed,"₹14,098",53,"₹5,222.9 M - ₹5,497.8 M",19.6 M,₹266 - ₹280,38.28 %,SECTOR : RETAILING,INDUSTRY : SPECIALTY RETAIL,NSE: MUFTI | BSE: 544058
377,Happy Forgings,82.04 x Oversubscribed,"₹13,736",17,"₹9,587.6 M - ₹10,086.0 M",11.9 M,₹808 - ₹850,76.23 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : CASTINGS & FORGINGS,NSE: HAPPYFORGE | BSE: 544057
378,Electro Force,4.12 x Oversubscribed,"₹111,600",1200,₹806.8 M,8.7 M,₹93,62.93 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : ELECTRONIC COMPONENTS,NSE: EFORCE
379,Shanti Spintex,25.53 x Oversubscribed,"₹132,000",2000,₹294.6 M - ₹312.5 M,4.5 M,₹66 - ₹70,31.53 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : TEXTILES,BSE: 544059
380,Motisons Jewellers,159.61 x Oversubscribed,"₹13,000",250,"₹1,428.5 M - ₹1,510.9 M",27.5 M,₹52 - ₹55,66 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: MOTISONS | BSE: 544053
381,Muthoot Microfin,11.52 x Oversubscribed,"₹14,127",51,"₹9,138.1 M - ₹9,600.0 M",33.0 M,₹277 - ₹291,54.46 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: MUTHOOTMF | BSE: 544055
382,Suraj Estate,15.65 x Oversubscribed,"₹13,940",41,"₹3,777.8 M - ₹4,000.0 M",11.1 M,₹340 - ₹360,74.95 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: SURAJEST | BSE: 544054
383,Sahara Maritime,21.57 x Oversubscribed,"₹129,600",1600,₹68.8 M,849.6 K,₹81,72.33 %,SECTOR : TRANSPORTATION,INDUSTRY : TRANSPORT RELATED SERVICES,BSE: 544056
384,Shree OSFM E-Mobility,7.69 x Oversubscribed,"₹130,000",2000,₹245.9 M,3.8 M,₹65,55.88 %,SECTOR : TRANSPORTATION,INDUSTRY : SURFACE TRANSPORTATION,NSE: SHREEOSFM
385,Inox,61.28 x Oversubscribed,"₹13,794",22,"₹13,863.6 M - ₹14,593.2 M",22.1 M,₹627 - ₹660,74.94 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: INOXINDIA | BSE: 544046
386,Benchmark Computer,229.73 x Oversubscribed,"₹132,000",2000,₹122.4 M,1.9 M,₹66,72.26 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 544052
387,Siyaram Recycling,358.07 x Oversubscribed,"₹129,000",3000,₹214.7 M - ₹229.6 M,5.0 M,₹43 - ₹46,73.44 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,BSE: 544047
388,India Shelter Finance,36.71 x Oversubscribed,"₹14,070",30,"₹11,415.8 M - ₹12,000.0 M",24.3 M,₹469 - ₹493,40.72 %,SECTOR : BANKING AND FINANCE,INDUSTRY : HOUSING FINANCE,NSE: INDIASHLTR | BSE: 544044
389,DOMS Industries,93.52 x Oversubscribed,"₹13,500",18,"₹11,392.4 M - ₹12,000.0 M",15.2 M,₹750 - ₹790,74.97 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY PRINTING/STATIONERY,NSE: DOMS | BSE: 544045
390,S J Logistics,294.12 x Oversubscribed,"₹121,000",1000,₹464.6 M - ₹480.0 M,3.8 M,₹121 - ₹125,49.64 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: SJLOGISTIC
391,Presstonic Engg,153.16 x Oversubscribed,"₹115,200",1600,₹233.0 M,3.2 M,₹72,58 %,SECTOR : METALS & MINING,INDUSTRY : IRON & STEEL PRODUCTS,NSE: PRESSTONIC
392,Accent Microcell,337.13 x Oversubscribed,"₹133,000",1000,₹744.8 M - ₹784.0 M,5.6 M,₹133 - ₹140,53.67 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: ACCENTMIC
393,Graphisads,3.63 x Oversubscribed,"₹133,200",1200,₹534.1 M,4.8 M,₹111,73.67 %,SECTOR : MEDIA,INDUSTRY : ADVERTISING & MEDIA,NSE: GRAPHISAD
394,Sheetal Universal,162.53 x Oversubscribed,"₹140,000",2000,₹238.0 M,3.4 M,₹70,70.32 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER AGRICULTURAL PRODUCTS,NSE: SHEETAL
395,Net Avenue Tech,475.2 x Oversubscribed,"₹128,000",8000,₹91.1 M - ₹102.5 M,5.7 M,₹16 - ₹18,73.45 %,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: CBAZAAR
396,Marinetrans,31.02 x Oversubscribed,"₹104,000",4000,₹109.2 M,4.2 M,₹26,67 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: MARINETRAN
397,Deepak Chemtex,374.34 x Oversubscribed,"₹121,600",1600,₹218.9 M - ₹230.4 M,2.9 M,₹76 - ₹80,73.49 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : SPECIALTY CHEMICALS,BSE: 544036
398,AMIC Forging,268.79 x Oversubscribed,"₹121,000",1000,₹334.2 M - ₹348.0 M,2.8 M,₹121 - ₹126,73.67 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : CASTINGS & FORGINGS,BSE: 544037
399,Swashthik Plascon,14.41 x Oversubscribed,"₹128,000",1600,₹379.1 M - ₹407.6 M,4.7 M,₹80 - ₹86,73.02 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,BSE: 544035
400,Flair Writing,46.68 x Oversubscribed,"₹14,112",49,"₹5,617.9 M - ₹5,930.0 M",19.5 M,₹288 - ₹304,81.49 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY PRINTING/STATIONERY,NSE: FLAIR | BSE: 544030
401,Gandhar Oil Refinery,64.07 x Oversubscribed,"₹14,080",88,"₹4,740.3 M - ₹5,006.9 M",29.6 M,₹160 - ₹169,69.73 %,SECTOR : OIL & GAS,INDUSTRY : REFINERIES/PETRO-PRODUCTS,NSE: GANDHAR | BSE: 544029
402,Tata Technologies,69.43 x Oversubscribed,"₹14,250",30,"₹28,903.9 M - ₹30,425.1 M",60.9 M,₹475 - ₹500,55.39 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT SOFTWARE PRODUCTS,NSE: TATATECH | BSE: 544028
403,Fedbank Financial,2.2 x Oversubscribed,"₹14,231",107,"₹10,376.5 M - ₹10,922.6 M",78.0 M,₹133 - ₹140,78.85 %,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCE (INCLUDING NBFCS),NSE: FEDFINA | BSE: 544027
404,Rockingdeals Circular,142.96 x Oversubscribed,"₹136,000",1000,₹204.0 M - ₹210.0 M,1.5 M,₹136 - ₹140,73.49 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: ROCKINGDCE
405,Indian Renewable,38.8 x Oversubscribed,"₹13,800",460,"₹20,158.2 M - ₹21,502.1 M",671.9 M,₹30 - ₹32,75 %,SECTOR : BANKING AND FINANCE,INDUSTRY : FINANCIAL INSTITUTIONS,NSE: IREDA | BSE: 544026
406,Arrowhead Seperation,89.75 x Oversubscribed,"₹139,800",600,₹130.0 M,558.0 K,₹233,70.18 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,BSE: 544025
407,Sunrest Lifescience,45.1 x Oversubscribed,"₹134,400",1600,₹108.5 M,1.3 M,₹84,69.91 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: SUNREST
408,Kalyani Cast-Tech,162.37 x Oversubscribed,"₹139,000",1000,₹296.7 M - ₹301.1 M,2.2 M,₹137 - ₹139,69.83 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,BSE: 544023
409,ROX Hi-Tech,178.16 x Oversubscribed,"₹132,800",1600,₹525.2 M - ₹544.9 M,6.6 M,₹80 - ₹83,71.25 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: ROXHITECH
410,ASK Automotive,51.14 x Oversubscribed,"₹14,946",53,"₹7,925.1 M - ₹8,339.1 M",29.6 M,₹268 - ₹282,85 %,SECTOR : AUTOMOBILES & AUTO COMPONENTS,INDUSTRY : AUTO PARTS & EQUIPMENT,NSE: ASKAUTOLTD | BSE: 544022
411,Baba Food Processing,66 x Oversubscribed,"₹121,600",1600,₹312.6 M - ₹330.0 M,4.3 M,₹72 - ₹76,73.43 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,NSE: BABAFP
412,Protean eGov Tech,23.86 x Oversubscribed,"₹14,256",18,"₹4,655.6 M - ₹4,903.3 M",6.2 M,₹752 - ₹792,-,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 544021
413,ESAF Small Finance,73.15 x Oversubscribed,"₹15,000",250,"₹4,398.5 M - ₹4,630.0 M",77.2 M,₹57 - ₹60,85 %,SECTOR : BANKING AND FINANCE,INDUSTRY : MICROFINANCE INSTITUTIONS,NSE: ESAFSFB | BSE: 544020
414,Micropro Software,34.09 x Oversubscribed,"₹129,600",1600,₹307.0 M,3.8 M,₹81,73.49 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: MICROPRO
415,Honasa Consumer,7.61 x Oversubscribed,"₹14,904",46,"₹16,174.2 M - ₹17,014.4 M",52.5 M,₹308 - ₹324,83.68 %,SECTOR : FMCG,INDUSTRY : PERSONAL PRODUCTS,NSE: HONASA | BSE: 544014
416,Maitreya Medicare,410.09 x Oversubscribed,"₹131,200",1600,₹141.6 M - ₹148.9 M,1.8 M,₹78 - ₹82,73.2 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,NSE: MAITREYA
417,Mish Designs,122.32 x Oversubscribed,"₹122,000",1000,₹97.6 M,800.0 K,₹122,71.43 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,BSE: 544015
418,Cello World,38.9 x Oversubscribed,"₹14,904",23,"₹18,091.0 M - ₹19,000.0 M",29.3 M,₹617 - ₹648,86.18 %,SECTOR : CONSUMER DURABLES,INDUSTRY : HOUSEWARE,NSE: CELLO | BSE: 544012
419,KK Shah Hospitals,12.92 x Oversubscribed,"₹135,000",3000,₹87.8 M,1.9 M,₹45,71.36 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE FACILITIES,BSE: 544013 | ASM
420,Transteel Seating,31.57 x Oversubscribed,"₹140,000",2000,₹478.4 M - ₹499.8 M,7.1 M,₹67 - ₹70,64.62 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : FURNITURE-FURNISHING,NSE: TRANSTEEL
421,Vrundavan Plantation,17.68 x Oversubscribed,"₹129,600",1200,₹152.9 M,1.4 M,₹108,73.45 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,BSE: 544011
422,Paragon Fine & Speciality,191.25 x Oversubscribed,"₹120,000",1200,₹490.8 M - ₹516.6 M,5.2 M,₹95 - ₹100,73.6 %,SECTOR : CHEMICALS & PETROCHEMICALS,INDUSTRY : DYES & PIGMENTS,NSE: PARAGON
423,Shanthala FMCG,3.76 x Oversubscribed,"₹109,200",1200,₹160.7 M,1.8 M,₹91,73.63 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : DISTRIBUTORS,NSE: SHANTHALA
424,Blue Jet Healthcare,7.95 x Oversubscribed,"₹14,878",43,"₹7,989.8 M - ₹8,402.7 M",24.3 M,₹329 - ₹346,86 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: BLUEJET | BSE: 544009
425,On Door Concepts,5.25 x Oversubscribed,"₹124,800",600,₹311.8 M,1.5 M,₹208,68.42 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : INTERNET SOFTWARE & SERVICES,NSE: ONDOOR
426,Rajgor Castor Derivatives,97.73 x Oversubscribed,"₹150,000",3000,₹449.4 M - ₹478.1 M,9.6 M,₹47 - ₹50,60.02 %,SECTOR : FMCG,INDUSTRY : EDIBLE OILS,NSE: RCDL
427,Womancart,60.94 x Oversubscribed,"₹137,600",1600,₹95.6 M,1.1 M,₹86,73.57 %,SECTOR : RETAILING,INDUSTRY : INTERNET & CATALOGUE RETAIL,NSE: WOMANCART
428,IRM Energy,27.05 x Oversubscribed,"₹14,645",29,"₹5,184.0 M - ₹5,454.0 M",10.8 M,₹480 - ₹505,73.7 %,SECTOR : UTILITIES,INDUSTRY : UTILITIES:NON-ELECTRICAL,NSE: IRMENERGY | BSE: 544004
429,Arvind and Company,359.62 x Oversubscribed,"₹135,000",3000,₹147.4 M,3.3 M,₹45,73.01 %,SECTOR : TRANSPORTATION,INDUSTRY : SHIPPING,NSE: ARVINDPORT
430,Committed Cargo Care,82.12 x Oversubscribed,"₹123,200",1600,₹249.5 M,3.2 M,₹77,70.03 %,SECTOR : TRANSPORTATION,INDUSTRY : WAREHOUSING & LOGISTICS,NSE: COMMITTED
431,Plada Infotech,54 x Oversubscribed,"₹144,000",3000,₹123.6 M,2.6 M,₹48,69.98 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : BPO/KPO,NSE: PLADAINFO
432,Plaza Wires,160.98 x Oversubscribed,"₹14,958",277,₹673.2 M - ₹712.8 M,13.2 M,₹51 - ₹54,69.83 %,SECTOR : CONSUMER DURABLES,INDUSTRY : WIRES & CABLES,NSE: PLAZACABLE | BSE: 544003
433,Vivaa Tradecom,1.77 x Oversubscribed,"₹102,000",2000,₹79.9 M,1.6 M,₹51,60.23 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,BSE: 544002
434,Sharp Chucks & Machines,48.67 x Oversubscribed,"₹116,000",2000,₹168.4 M,2.9 M,₹58,73.01 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : CASTINGS & FORGINGS,NSE: SCML
435,Karnika Industries,2.96 x Oversubscribed,"₹121,600",1600,₹250.7 M,3.3 M,₹76,73.39 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: KARNIKA
436,Sunita Tools,12.61 x Oversubscribed,"₹145,000",1000,₹220.4 M,1.5 M,₹145,72.98 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : INDUSTRIAL MACHINERY,BSE: 544001
437,Goyal Salt,267.07 x Oversubscribed,"₹114,000",3000,₹176.5 M - ₹186.3 M,4.9 M,₹36 - ₹38,72.61 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,NSE: GOYALSALT
438,Oneclick Logistics,172.28 x Oversubscribed,"₹118,800",1200,₹99.1 M,1.0 M,₹99,72.23 %,SECTOR : TRANSPORTATION,INDUSTRY : TRANSPORT RELATED SERVICES,NSE: OLIL
439,Canarys Automations,8.95 x Oversubscribed,"₹124,000",4000,₹440.0 M - ₹470.3 M,15.2 M,₹29 - ₹31,73 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: CANARYS
440,City Crops Agro,3.34 x Oversubscribed,"₹150,000",6000,₹150.0 M,6.0 M,₹25,63.23 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,BSE: 544000
441,Kontor Space,65.2 x Oversubscribed,"₹111,600",1200,₹156.2 M,1.7 M,₹93,72.82 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: KONTOR
442,Vishnusurya Projects,38.01 x Oversubscribed,"₹136,000",2000,₹499.8 M,7.3 M,₹68,70.13 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: VISHNUINFR
443,Arabian Petroleum,18.51 x Oversubscribed,"₹140,000",2000,₹202.4 M,2.9 M,₹70,73.45 %,SECTOR : OIL & GAS,INDUSTRY : OIL MARKETING & DISTRIBUTION,NSE: ARABIAN
444,E Factor Experiences,68.05 x Oversubscribed,"₹120,000",1600,₹245.4 M - ₹259.2 M,3.5 M,₹71 - ₹75,73.59 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: EFACTOR
445,Valiant Laboratories,29.76 x Oversubscribed,"₹14,700",105,"₹1,448.4 M - ₹1,524.6 M",10.9 M,₹133 - ₹140,74.94 %,SECTOR : PHARMACEUTICALS & BIOTECHNOLOGY,INDUSTRY : PHARMACEUTICALS,NSE: VALIANTLAB | BSE: 543998
446,Organic Recycling,3.13 x Oversubscribed,"₹120,000",600,₹500.0 M,2.5 M,₹200,67.53 %,SECTOR : UTILITIES,INDUSTRY : WASTE MANAGEMENT,BSE: 543997
447,Vinyas Innovative,40.27 x Oversubscribed,"₹132,000",800,₹536.7 M - ₹546.6 M,3.3 M,₹162 - ₹165,73.68 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : ELECTRONIC COMPONENTS,NSE: VINYAS
448,Inspire Films,120.03 x Oversubscribed,"₹118,000",2000,₹201.5 M - ₹212.3 M,3.6 M,₹56 - ₹59,73.56 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: INSPIRE
449,Newjaisa Tech,6.44 x Oversubscribed,"₹141,000",3000,₹373.8 M - ₹399.3 M,8.5 M,₹44 - ₹47,73.6 %,SECTOR : HARDWARE TECHNOLOGY & EQUIPMENT,INDUSTRY : COMPUTER HARDWARE,NSE: NEWJAISA
450,Updater Services,2.9 x Oversubscribed,"₹15,000",50,"₹5,973.3 M - ₹6,400.0 M",21.3 M,₹280 - ₹300,68.02 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : MISC. COMMERCIAL SERVICES,NSE: UDS | BSE: 543996
451,Mangalam Alloys,5.34 x Oversubscribed,"₹128,000",1600,₹549.1 M,6.9 M,₹80,72.19 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: MAL
452,Digikore Studios,243.12 x Oversubscribed,"₹136,800",800,₹299.4 M - ₹304.8 M,1.8 M,₹168 - ₹171,71.85 %,SECTOR : MEDIA,INDUSTRY : MOVIES & ENTERTAINMENT,NSE: DIGIKORE
453,Manoj Vaibhav Gems N,2.25 x Oversubscribed,"₹14,835",69,"₹2,563.8 M - ₹2,702.0 M",12.6 M,₹204 - ₹215,74.27 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : GEMS & JEWELLERY,NSE: MVGJL | BSE: 543995
454,JSW Infrastructure,37.37 x Oversubscribed,"₹14,994",126,"₹26,588.2 M - ₹28,000.0 M",235.3 M,₹113 - ₹119,88.8 %,SECTOR : TRANSPORTATION,INDUSTRY : MARINE PORT & SERVICES,NSE: JSWINFRA | BSE: 543994
455,Saakshi Medtech,85.25 x Oversubscribed,"₹116,400",1200,₹428.4 M - ₹451.6 M,4.7 M,₹92 - ₹97,73.63 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : HEAVY ELECTRICAL EQUIPMENT,NSE: SAAKSHI
456,Master Components,7.64 x Oversubscribed,"₹140,000",1000,₹154.0 M,1.1 M,₹140,72.45 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : PLASTIC PRODUCTS,NSE: MASTER
457,Yatra Online,1.61 x Oversubscribed,"₹14,910",105,"₹7,368.0 M - ₹7,750.0 M",54.6 M,₹135 - ₹142,65.22 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : TRAVEL SUPPORT SERVICES,NSE: YATRA | BSE: 543992
458,Cellecor Gadgets,108.27 x Oversubscribed,"₹110,400",1200,₹480.1 M - ₹507.7 M,5.5 M,₹87 - ₹92,73.68 %,SECTOR : COMMERCIAL SERVICES & SUPPLIES,INDUSTRY : COMMODITY TRADING & DISTRIBUTION,NSE: CELLECOR
459,Hi-Green Carbon,154.89 x Oversubscribed,"₹120,000",1600,₹499.8 M - ₹528.0 M,7.0 M,₹71 - ₹75,71.83 %,SECTOR : UTILITIES,INDUSTRY : WASTE MANAGEMENT,NSE: HIGREEN
460,Marco Cables & Conductors,28.2 x Oversubscribed,"₹108,000",3000,₹187.3 M,5.2 M,₹36,72.18 %,SECTOR : CONSUMER DURABLES,INDUSTRY : WIRES & CABLES,NSE: MARCO
461,Signatureglobal,11.88 x Oversubscribed,"₹14,630",38,"₹6,939.7 M - ₹7,300.0 M",19.0 M,₹366 - ₹385,86.51 %,SECTOR : REALTY,INDUSTRY : REALTY,NSE: SIGNATURE | BSE: 543990
462,Kody Technolab,45.03 x Oversubscribed,"₹128,000",800,₹275.2 M,1.7 M,₹160,73.01 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,NSE: KODYTECH
463,Techknowgreen,12.37 x Oversubscribed,"₹137,600",1600,₹167.2 M,1.9 M,₹86,73.67 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT CONSULTING & SOFTWARE,BSE: 543991
464,Sai Silks Kalamandir,4.4 x Oversubscribed,"₹14,874",67,"₹11,360.8 M - ₹12,010.0 M",54.1 M,₹210 - ₹222,64.73 %,SECTOR : TEXTILES APPARELS & ACCESSORIES,INDUSTRY : OTHER APPARELS & ACCESSORIES,NSE: KALAMANDIR | BSE: 543989
465,Kundan Edifice,37.92 x Oversubscribed,"₹109,200",1200,₹252.2 M,2.8 M,₹91,73.01 %,SECTOR : CONSUMER DURABLES,INDUSTRY : OTHER ELECTRICAL EQUIPMENT/PRODUCTS,NSE: KEL
466,Madhusudan Masala,412.94 x Oversubscribed,"₹140,000",2000,₹224.4 M - ₹238.0 M,3.4 M,₹66 - ₹70,73.64 %,SECTOR : FOOD BEVERAGES & TOBACCO,INDUSTRY : OTHER FOOD & BEVERAGES,NSE: MADHUSUDAN
467,Chavda Infra,167.42 x Oversubscribed,"₹130,000",2000,₹399.4 M - ₹432.6 M,6.7 M,₹60 - ₹65,73 %,SECTOR : CEMENT AND CONSTRUCTION,INDUSTRY : CONSTRUCTION & ENGINEERING,NSE: CHAVDA
468,Holmarc Opto-Mechatronics,80.3 x Oversubscribed,"₹120,000",3000,₹114.0 M,2.9 M,₹40,71.64 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,NSE: HOLMARC
469,Zaggle Prepaid Ocean,12.57 x Oversubscribed,"₹14,760",90,"₹5,359.0 M - ₹5,633.8 M",34.4 M,₹156 - ₹164,71.86 %,SECTOR : SOFTWARE & SERVICES,INDUSTRY : IT SOFTWARE PRODUCTS,NSE: ZAGGLE | BSE: 543985
470,Samhi Hotels,5.33 x Oversubscribed,"₹14,994",119,"₹12,939.8 M - ₹13,701.0 M",108.7 M,₹119 - ₹126,-,SECTOR : HOTELS RESTAURANTS & TOURISM,INDUSTRY : HOTELS,NSE: SAMHI | BSE: 543984
471,EMS,75.28 x Oversubscribed,"₹14,770",70,"₹3,045.0 M - ₹3,212.5 M",15.2 M,₹200 - ₹211,72.58 %,SECTOR : UTILITIES,INDUSTRY : WASTE MANAGEMENT,NSE: EMSLIMITED | BSE: 543983
472,Unihealth Consultancy,22.96 x Oversubscribed,"₹132,000",1000,₹539.8 M - ₹565.5 M,4.3 M,₹126 - ₹132,72.18 %,SECTOR : DIVERSIFIED CONSUMER SERVICES,INDUSTRY : HEALTHCARE SERVICES,NSE: UNIHEALTH
473,Meson Valves,164.82 x Oversubscribed,"₹122,400",1200,₹310.9 M,3.0 M,₹102,70 %,SECTOR : GENERAL INDUSTRIALS,INDUSTRY : OTHER INDUSTRIAL PRODUCTS,BSE: 543982
